zip,total,total_error,white_total,white_error,african_american_total,african_american_error,asian_total,asian_error,other_race_total,other_race_error,multiracial_total,multiracial_error
24018,38341,904,32575,920,2238,515,88,2360,477,476,1382,669
24019,27722,954,22535,1040,3159,576,53,586,469,482,1946,814
24020,632,270,495,251,86,53,12,32,4,33,30,52
24053,2646,544,2549,529,48,53,12,25,0,36,48,76
24054,6367,789,3926,532,1744,394,17,0,514,484,366,211
24055,12402,904,10549,783,1505,484,19,0,267,298,162,215
24058,242,176,242,176,0,12,12,0,0,36,0,36
24059,853,274,796,259,0,12,12,12,0,36,90,108
24060,55676,681,44971,1004,2733,400,139,5755,971,537,2492,739
24064,5046,601,4875,589,70,62,17,9,0,51,184,147
24065,6098,719,5984,722,70,69,17,0,8,48,72,105
24066,5295,410,4979,395,114,85,21,0,57,96,290,258
24067,2368,489,2340,493,23,37,12,0,0,36,10,36
24069,1644,322,991,248,634,207,12,0,19,53,0,36
24070,1827,429,1807,425,2,4,12,0,0,36,36,66
24072,1029,339,877,278,51,77,12,21,0,36,160,216
24073,30710,899,27653,1033,1574,322,118,651,552,517,560,300
24076,1362,369,1362,369,0,12,12,0,0,36,0,36
24077,769,204,726,201,24,40,12,19,0,36,0,36
24078,7527,842,6514,770,816,349,17,64,67,134,132,121
24079,1817,407,1801,402,0,12,12,0,0,36,32,58
24082,650,193,411,187,188,124,12,0,51,94,0,36
24083,2910,456,2861,457,39,57,12,0,0,36,20,46
24084,11002,500,10206,520,390,147,10,130,62,89,428,257
24085,2139,295,1922,285,202,130,12,0,15,48,0,36
24086,113,61,101,62,12,21,12,0,0,36,0,36
24087,3789,611,3642,613,78,85,9,0,55,89,28,66
24088,5472,765,4804,742,560,202,23,0,69,93,78,93
24089,2440,507,1663,397,654,219,12,0,0,36,246,341
24090,5028,544,4806,515,102,59,17,22,30,79,136,138
24091,7739,814,7434,833,125,116,33,7,30,67,286,237
24092,2445,474,2088,456,259,176,11,26,7,35,130,214
24093,101,48,101,48,0,12,12,0,0,36,0,36
24095,4332,450,4149,473,91,66,12,0,25,55,134,133
24101,6290,522,5801,425,189,204,17,134,43,100,246,279
24102,1552,398,1549,399,0,12,12,0,0,36,6,24
24104,3452,593,3158,519,138,141,12,41,0,36,230,160
24105,468,252,468,252,0,12,12,0,0,36,0,36
24112,29448,962,16275,781,11785,596,67,241,405,311,1484,567
24120,1477,349,1447,342,2,5,12,0,1,27,54,94
24121,11145,678,10628,630,370,206,17,0,24,51,246,241
24122,1600,323,1532,332,56,78,12,11,1,26,0,36
24124,4785,540,4671,532,24,24,12,12,0,36,156,196
24127,3860,374,3800,373,6,10,12,0,1,26,106,184
24128,1948,299,1948,299,0,12,12,0,0,36,0,36
24130,15,25,15,25,0,12,12,0,0,36,0,36
24131,10,24,0,12,0,12,12,0,0,36,20,60
24132,282,183,247,152,0,12,12,0,0,36,70,108
24133,2258,349,2140,359,81,73,12,17,0,36,40,80
24134,5200,357,4897,359,251,179,17,0,25,75,54,97
24136,3156,353,3075,351,52,53,12,0,1,28,56,66
24137,2530,432,2139,374,177,135,12,5,0,36,418,416
24138,1618,488,1593,480,0,12,40,0,25,64,0,36
24139,359,137,308,131,44,48,12,0,0,36,14,36
24141,22989,895,21037,710,1207,350,23,316,45,73,768,420
24142,2745,626,1605,270,804,267,9,3,81,67,504,324
24147,1418,351,1383,353,22,13,12,10,3,30,0,36
24148,8475,626,6592,562,1356,314,17,138,122,175,534,431
24149,3401,742,3255,730,0,12,12,43,0,36,206,204
24150,820,257,820,257,0,12,12,0,0,36,0,36
24151,20436,1167,16733,1106,2733,326,83,109,374,324,974,513
24153,37849,510,34202,524,1979,285,38,527,323,244,1636,597
24161,505,212,406,201,40,44,8,5,4,32,100,140
24162,2381,595,2256,594,64,78,12,45,0,36,32,64
24165,1259,298,1029,279,189,90,12,10,5,32,52,88
24167,206,136,185,137,0,12,12,0,0,36,42,80
24168,385,292,385,292,0,12,12,0,0,36,0,36
24171,8327,561,7475,553,670,147,49,30,119,171,66,73
24174,2898,582,2772,531,8,12,12,0,0,36,236,306
24175,8142,648,7650,608,266,133,46,37,37,80,304,225
24176,1257,217,1225,222,20,22,12,6,0,36,12,30
24179,18258,639,16858,719,549,283,39,309,190,166,704,341
24184,4586,851,4401,841,44,68,18,18,9,42,228,250
24185,458,179,445,177,13,20,12,0,0,36,0,36
24201,16252,301,14639,328,964,231,19,38,73,150,1076,457
24202,11127,736,10782,745,82,96,19,110,10,54,286,219
24210,16337,774,15677,791,236,115,21,85,76,93,526,344
24211,10032,546,9809,538,13,12,56,66,70,116,148,155
24216,2712,348,2539,314,28,27,12,0,0,36,290,298
24217,278,132,278,132,0,12,12,0,0,36,0,36
24219,11393,605,9983,623,1081,303,17,89,13,55,454,215
24220,1049,355,1030,356,0,12,12,0,0,36,38,70
24221,596,216,596,216,0,12,12,0,0,36,0,36
24224,5866,610,5833,608,5,11,40,0,23,74,10,39
24225,2283,528,2069,483,46,70,12,0,0,36,336,352
24226,1154,236,1152,235,1,2,12,0,0,36,2,16
24228,6449,463,6277,458,43,42,13,0,21,50,216,132
24230,8092,710,7767,689,169,132,31,16,87,86,106,123
24236,3092,503,3057,504,3,6,12,0,0,36,64,66
24237,865,319,797,299,68,99,12,0,0,36,0,36
24239,241,190,241,190,0,12,12,0,0,36,0,36
24243,1948,439,1872,412,0,12,24,24,15,48,74,156
24244,5881,553,5637,518,34,33,56,0,72,93,276,195
24245,757,215,730,215,7,12,12,13,0,36,14,36
24246,492,338,492,338,0,12,12,0,0,36,0,36
24248,2465,405,2450,399,15,39,12,0,0,36,0,36
24250,1309,280,1288,277,0,12,19,0,12,43,18,42
24251,8275,516,8225,514,24,35,17,8,0,51,36,65
24256,3471,393,3402,395,40,40,12,18,0,36,22,38
24258,1577,246,1577,246,0,12,12,0,0,36,0,36
24260,5340,559,5267,562,65,38,7,0,4,41,8,31
24263,5875,705,5817,692,10,12,17,7,0,51,82,146
24265,707,239,707,239,0,12,12,0,0,36,0,36
24266,8986,768,8838,760,85,48,17,0,1,36,124,143
24269,390,201,374,189,0,12,12,0,0,36,32,58
24270,793,359,793,359,0,12,12,0,0,36,0,36
24271,2319,370,2319,370,0,12,12,0,0,36,0,36
24272,716,235,714,236,0,12,12,0,0,36,4,24
24273,6072,274,5658,320,122,114,17,184,0,51,216,259
24277,6906,657,5595,619,953,241,77,5,202,194,302,307
24279,5247,405,4588,421,573,101,7,12,4,41,140,132
24280,850,256,845,255,5,5,12,0,0,36,0,36
24281,2483,615,2483,615,0,12,12,0,0,36,0,36
24282,865,277,865,277,0,12,12,0,0,36,0,36
24283,2130,283,2063,265,0,12,12,0,19,54,96,146
24290,1968,321,1801,311,62,45,21,47,22,49,72,76
24292,392,106,360,102,32,48,12,0,0,36,0,36
24293,9575,669,9153,650,261,182,17,66,0,51,190,150
24301,14164,474,12801,556,732,188,19,81,127,173,846,475
24311,1475,227,1375,218,20,31,12,32,28,61,40,52
24312,1678,524,1582,458,96,126,12,0,0,36,0,36
24313,917,453,888,448,0,12,12,0,29,50,0,36
24314,1403,263,1380,251,6,9,12,0,0,36,34,74
24315,3563,351,3279,294,222,111,12,10,6,36,92,124
24316,0,12,0,12,0,12,12,0,0,36,0,36
24317,3903,412,3756,407,33,46,49,0,49,95,130,196
24318,599,198,587,198,0,12,19,0,12,43,0,36
24319,7228,670,6942,672,120,74,63,0,135,121,62,50
24322,99,83,99,83,0,12,12,0,0,36,0,36
24323,893,247,776,203,26,42,12,0,0,36,182,224
24324,1853,531,1743,527,110,140,12,0,0,36,0,36
24325,1020,371,994,365,0,12,12,0,26,57,0,36
24326,1030,202,979,216,1,2,12,0,0,36,100,138
24328,1748,494,1722,486,0,12,44,0,26,68,0,36
24330,3078,502,2993,476,6,15,72,0,46,122,66,134
24333,17768,906,16916,911,576,272,31,64,157,146,110,105
24340,6050,570,5603,561,165,107,49,8,133,207,282,218
24343,9597,674,9306,686,9,12,17,0,0,51,564,483
24347,1619,336,1602,337,0,12,12,0,0,36,34,54
24348,4760,630,3943,477,776,275,9,0,15,36,52,128
24350,1179,364,1168,368,0,12,12,0,11,49,0,36
24351,447,153,447,153,0,12,12,0,0,36,0,36
24352,839,294,785,280,0,12,12,13,0,36,82,106
