id,county_id,Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
4277,78,MOUNT CLINTON,,MOUNT CLINTON,VA,ROCKINGHAM,,,Rockingham,1841,1902,TRUE,3,100632,TRUE,61,TRUE,MOUNT CLINTON,ROCKINGHAM,VA,1493317,Populated Place,Mount Clinton,Rockingham,38.48623,-78.95975,421,1,38.48623,-78.95975
4278,78,MOUNT CRAWFORD,,MOUNT CRAWFORD,VA,ROCKINGHAM,,,Rockingham,1827,,TRUE,0,100635,TRUE,,TRUE,MOUNT CRAWFORD,ROCKINGHAM,VA,1779333,Post Office,Mount Crawford Post Office,Rockingham,38.35832,-78.94066,364,1,38.35832,-78.94066
4279,68,MOUNT CROSS,,MOUNT CROSS,VA,PITTSYLVANIA,,,Pittsylvania,1875,1909,TRUE,4,100636,TRUE,34,TRUE,MOUNT CROSS,PITTSYLVANIA,VA,1477557,Populated Place,Mount Cross,Pittsylvania,36.63903,-79.4878,208,1,36.63903,-79.4878
4280,7,MOUNT ELLIOT,,MOUNT ELLIOT,VA,AUGUSTA,,,Augusta,1904,1927,FALSE,3,100641,TRUE,23,TRUE,MOUNT ELLIOTT,AUGUSTA,VA,1926769,Post Office,Mount Elliott Post Office (historical),Augusta,38.1268,-79.28337,573,0.9166667,38.1268,-79.28337
4281,65,MOUNT EMINENCE,,MOUNT EMINENCE,VA,ORANGE,,,Orange,1850,1853,TRUE,9,100642,FALSE,3,FALSE,,,,,,,,,,,,,
4282,7,MOUNT EUTOPIA,,MOUNT EUTOPIA,VA,AUGUSTA,,,Augusta,1853,1857,TRUE,8,100648,FALSE,4,FALSE,,,,,,,,,,,,,
4283,52,MOUNT GILEAD,,MOUNT GILEAD,VA,LOUDOUN,,,Loudoun,1824,1905,FALSE,3,100655,TRUE,81,TRUE,MOUNT GILEAD,LOUDOUN,VA,1498401,Populated Place,Mount Gilead,Loudoun,39.05872,-77.66444,182,1,39.05872,-77.66444
4284,78,MOUNT HERMAN,,MOUNT HERMAN,VA,ROCKINGHAM,,,Rockingham,1889,1894,TRUE,7,100670,FALSE,5,FALSE,,,,,,,,,,,,,
4285,13,MOUNT HERON,,MOUNT HERON,VA,BUCHANAN,,,Buchanan,1925,1965,TRUE,1,100672,TRUE,40,TRUE,MOUNT HERON,BUCHANAN,VA,1499773,Populated Place,Mount Heron,Buchanan,37.18789,-82.00457,425,1,37.18789,-82.00457
4286,91,MOUNT HOLLY,,MOUNT HOLLY,VA,WESTMORELAND,,,Westmoreland,1877,,TRUE,0,100677,TRUE,,TRUE,MOUNT HOLLY,WESTMORELAND,VA,2519634,Post Office,Mount Holly Post Office,Westmoreland,38.09217,-76.71937,13,1,38.09217,-76.71937
4287,81,MOUNT HOPE,,MOUNT HOPE,VA,SHENANDOAH,,,Shenandoah,1813,1835,TRUE,8,100684,TRUE,22,TRUE,MOUNT HOPE,SHENANDOAH,VA,1673886,Populated Place,Mount Hope,Shenandoah,39.09177,-78.34112,251,1,39.09177,-78.34112
4288,57,MOUNT HOPE,,MOUNT HOPE,VA,MECKLENBURG,,,Mecklenburg,1860,1866,TRUE,8,100685,TRUE,6,TRUE,MOUNT HOREB,MECKLENBURG,VA,1500757,Cemetery,Mount Horeb Cemetery,Mecklenburg,36.80128,-78.31444,144,0.8,36.80128,-78.31444
4289,60,MOUNT HOREB,,MOUNT HOREB,VA,NELSON,,,Nelson,1811,1866,TRUE,3,100690,FALSE,55,FALSE,,,,,,,,,,,,,
4290,1,MOUNT ISRAEL,,MOUNT ISRAEL,VA,ALBEMARLE,,,Albemarle,1828,1853,TRUE,4,100696,TRUE,25,TRUE,MOUNT ISRAEL,ALBEMARLE,VA,1492521,Populated Place,Mount Israel,Albemarle,37.9957,-78.72224,187,1,37.9957,-78.72224
4291,81,MOUNT JACKSON,,MOUNT JACKSON,VA,SHENANDOAH,,,Shenandoah,1826,,TRUE,0,100698,TRUE,,TRUE,MOUNT JACKSON,SHENANDOAH,VA,2766395,Post Office,Mount Jackson Post Office,Shenandoah,38.76076,-78.62695,270,1,38.76076,-78.62695
4292,27,MOUNT LANDING,,MOUNT LANDING,VA,ESSEX,,,Essex,1853,1960,FALSE,1,100706,TRUE,107,TRUE,MOUNT LANDING,ESSEX,VA,1495972,Populated Place,Mount Landing,Essex,37.94014,-76.92136,40,1,37.94014,-76.92136
4293,40,MOUNT LAUREL,,MOUNT LAUREL,VA,HALIFAX,,,Halifax,1807,1910,FALSE,4,100708,TRUE,103,TRUE,MOUNT LAUREL,HALIFAX,VA,1493320,Populated Place,Mount Laurel,Halifax,36.87542,-78.78751,173,1,36.87542,-78.78751
4294,7,MOUNT LEBANON,,MOUNT LEBANON,VA,AUGUSTA,,,Augusta,1831,1833,TRUE,9,100711,TRUE,2,TRUE,MOUNT LEBANON,AUGUSTA,VA,1470919,Cemetery,Mount Lebanon Cemetery,Augusta,38.08902,-78.8378,426,1,38.08902,-78.8378
4295,70,MOUNT LEIGH,,MOUNT LEIGH,VA,PRINCE EDWARD,,,Prince Edward,1883,1906,FALSE,5,100712,TRUE,23,TRUE,MOUNT LEIGH,PRINCE EDWARD,VA,1492313,School,Mount Leigh School (historical),Prince Edward,37.20238,-78.33944,157,1,37.20238,-78.33944
4296,26,MOUNT LEVEL,,MOUNT LEVEL,VA,DINWIDDIE,,,Dinwiddie,1831,1854,TRUE,3,100714,TRUE,23,TRUE,MOUNT LEVEL,DINWIDDIE,VA,1690789,Cemetery,Mount Level Cemetery,Dinwiddie,37.06562,-77.58087,69,1,37.06562,-77.58087
4297,7,MOUNT MERIDIAN,,MOUNT MERIDIAN,VA,AUGUSTA,,,Augusta,1826,1907,TRUE,4,100723,TRUE,81,TRUE,MOUNT MERIDIAN,AUGUSTA,VA,1470932,Locale,Mount Meridian,Augusta,38.26152,-78.86003,341,1,38.26152,-78.86003
4298,81,MOUNT OLIVE,,MOUNT OLIVE,VA,SHENANDOAH,,,Shenandoah,1858,1906,TRUE,5,100743,TRUE,48,TRUE,MOUNT OLIVE,SHENANDOAH,VA,1499775,Populated Place,Mount Olive,Shenandoah,38.97789,-78.45723,287,1,38.97789,-78.45723
4299,28,MOUNT PIERCE,,MOUNT PIERCE,VA,FAIRFAX,,,Fairfax,1853,1866,TRUE,7,100754,FALSE,13,FALSE,,,,,,,,,,,,,
4300,84,MOUNT PLEASANT,,MOUNT PLEASANT,VA,SPOTSYLVANIA,,,Spotsylvania,1823,1913,FALSE,4,100771,TRUE,90,TRUE,MOUNT PLEASANT,SPOTSYLVANIA,VA,1471026,Populated Place,Mount Pleasant,Spotsylvania,38.11513,-77.64415,98,1,38.11513,-77.64415
4301,7,MOUNT SIDNEY,,MOUNT SIDNEY,VA,AUGUSTA,,,Augusta,1829,,FALSE,0,100798,TRUE,,TRUE,MOUNT SIDNEY,AUGUSTA,VA,1739643,Post Office,Mount Sidney Post Office,Augusta,38.2579,-78.9587,396,1,38.2579,-78.9587
4302,55,MOUNT SINAI,,MOUNT SINAI,VA,MADISON,,,Madison,1906,1908,TRUE,6,100799,TRUE,2,TRUE,MOUNT SINAI,MADISON,VA,1471072,Church,Mount Sinai Baptist Church,Madison,38.29263,-78.3364,168,,38.29263,-78.3364
4303,7,MOUNT SOLON,,MOUNT SOLON,VA,AUGUSTA,,,Augusta,1835,,TRUE,0,100800,TRUE,,TRUE,MOUNT SOLON,AUGUSTA,VA,2766255,Post Office,Mount Solon Post Office,Augusta,38.34271,-79.08489,406,1,38.34271,-79.08489
4304,78,MOUNT STEPHENS,,MOUNT STEPHENS,VA,ROCKINGHAM,,,Rockingham,1821,1823,TRUE,9,100802,TRUE,2,TRUE,MOUNT STEVENS,ROCKINGHAM,VA,1495970,Populated Place,Mount Stevens,Rockingham,38.35707,-78.94086,371,0.8571429,38.35707,-78.94086
4305,14,MOUNT TROUBLESOME,,MOUNT TROUBLESOME,VA,BUCKINGHAM,,,Buckingham,1833,1833,TRUE,9,100816,FALSE,0,FALSE,,,,,,,,,,,,,
4306,28,MOUNT VERNON,,MOUNT VERNON,VA,FAIRFAX,,,Fairfax,1861,,FALSE,0,100828,TRUE,,TRUE,MOUNT VERNON,FAIRFAX,VA,2766396,Post Office,Mount Vernon Post Office,Fairfax,38.71273,-77.08922,28,1,38.71273,-77.08922
4307,78,MOUNT VERNON FORGE,,MOUNT VERNON FORGE,VA,ROCKINGHAM,,,Rockingham,1870,1871,TRUE,8,100835,TRUE,1,TRUE,MOUNT VERNON FORGE,ROCKINGHAM,VA,1495628,Populated Place,Mount Vernon Forge,Rockingham,38.26735,-78.82586,338,1,38.26735,-78.82586
4308,33,MOUNT VERNON TANNERY,,MOUNT VERNON TANNERY,VA,FREDERICK,,,Frederick,1853,1878,TRUE,6,100837,FALSE,25,FALSE,,,,,,,,,,,,,
